number,substituent
480,PO(CMe_3)_2
481,PO(C_4H_9)_2
482,PO(OC_4H_9)_2
483,P(CMe_3)_2
484,C_6H_5Cr(CO)_3
485,2-benzo-4-thiopyronyl
486,2-(benzothiopyronyl)
487,"2-(benzo-1,4-pyronyl)"
488,CH=CHCOC_6H_4-4-NO_2
489,CH_2Mo(CO)_3(C_5H_5)
490,CH=CHCOC_6H_5
491,C_6H_4-4-CHMe_2
492,Si(OSiMe_3)_3
493,ferrocenyl
494,ferricenium+
495,ferrocenonium+
496,C_6H_4-4-CMe_3
497,1-adamantyl
498,1-dibenzarsenyl
499,1-dibenzoarsoxyl
500,1-dibenzoarsazinyl
501,As(C_6H_5)_2
502,AsO(C_6H_5)_2
503,P(C_6H_5)_2(BCl_3)
504,N(C_6H_5)_2
505,PO(C_6H_5)_2
506,P(C_6H_5)_2
507,PS(C_6H_5)_2
508,P(N(C_3H_7)_2)C_6H_4-3-F
509,
510,
511,
512,CH(C_6H_5)_2
513,
514,PO(C_6H_5)c_6H_4-4-Me
515,CH_2PO(C_6H_5)_2
516,PS(C_6H_5)C_6H_4-4-Me
517,P+(Me)(C_6H_5)_2
518,Si(Me)(C_6H_5)_2
519,COOCH(C_6H_5)_2
520,PO(C_6H_4-4-Me)_2
521,PS(C_6H_4-4-Me)_2
522,P+(Me)(C_6H_5)(C_6H_4-4-Me)
523,P+(Me)(C_6H_4-4-Me)_2
524,Ge(C_6H_5)_3
525,"2-methyl-4,6-diphenylpyridinium"
526,N=P(C_6H_5)_3
527,Si(C_6H_5)_3
528,Sn(C_6H_5)_3
529,C(C_6H_5)_3
530,"2,4,6-triphenylpyridinium"
